이름,가격,링크
삼성전자 갤럭시S10e 128GB (SKT),판매중단,https://cr.shopping.naver.com/adcr.nhn?x=UROZy4R4z57xDNupnPNYY%2F%2F%2F%2Fw%3D%3DstVpk4xONog8xFWPaWgbxNwPOZ9YJ3liSqXExpwaof4ZLNxXzQCzkIEnu1hmGhT97X1TOuCHUnQZ81GFML09Tad1PUSmdZKpsArmn8OcN7evHODgExG1S49cG2i8U9195r2fETgtXCV9IJi8dH7fB2t9%2BKy%2Fm0d%2BgYWHtEf61Jo5CNclKwvLyA%2Fys%2F%2FHPPajL%2BekiyfivPmNSbEfLeSGhQH4njBPHmF5su0Ntt0Vg1J2HCBSkcTToWxcEKgwQq4xiQ2e7143Fourr6frVymGUK0fh%2FKsqHGnfkGuzGJvd9ZJr6kdrp7BvT8OlwZ7P37YyZp%2FuhVWf5tMOyu5R2EADuwOIpMXhmoYfM2RaDKvZfxw6JIeyjRJJG8AQSjlBThBKN7zreVvJYIASOjvs6F230ZlpdYCaMw9RBa9OCAjKM3siNvEAyH7XT6ObGe95mRdUD6ehlvQ8MfitIpzAAX8tvtYhnpCAUC293A3os1T4RulJm%2F1ne9lUZdiLJ5vX8PmzHaMRP%2FRVVCLIgrNJHcVPNMLSGId%2BZ%2FOYAjRfVwLnTYrYAoLvEx%2BiBEyPSEfiSCl3ADHlR0fsl9ryreohnI0HI%2BR79U%2F6Az3gE9mQ%2Flgn57E%3D&nvMid=17914520808&catId=50000246
삼성 갤럭시s10 5g 공기계,"140,000원",https://cr.shopping.naver.com/adcr.nhn?x=pSOgfMztI06HIAK9jfdrj%2F%2F%2F%2Fw%3D%3DslDLmsCrctgkHsCy%2BJAPcHQo3eGbUkO61LzmlPRPfdEFLNxXzQCzkIEnu1hmGhT97Tv4LhkiK0kjzpehxFxpve91PUSmdZKpsArmn8OcN7evHODgExG1S49cG2i8U9195Sy7FzuxGbVsziTxjE5sSJFi393%2FfVqWWsor6vo8eno%2BO%2FsdgQE5FIA0Tw1QMogpF19njiQV97s5xyxV88lSa8JzNpT2Nj8ijWKfK3CqPC4m%2Bf1cgNhijeywJF91KcUlsvRPrhVH5gtmQcsZLqBwKbsHPv45Edr5fvvv%2FlTzZa4WJUJ2mK9OkCvTV4i6eQKcylmO2kN%2FO%2FQKG23M4%2B4RbFNrycHn5RFhp1XjwOR0mzldMttISm1Bi%2Fn75OujI72vulakieTr%2F560u58LYvVwrF3nMy7h%2FSS0iGZCrgLRL%2FgUrr%2BZfPcKKU1pER2PQqNwEiRoXBcHFw0d9JU%2FdbF4fyJ4INIHYs6wdl%2Fb1kz6xVgUwA54W9b4AcolPUYUwxrKuy9O26Di8KMS%2BiGo7JDPn2Rtq5tBtkJssTcPA%2FyDWkDvetMBUNDAMf%2Bx8XY1y34VYy1Vhq%2FH77x9Zlr1IFzyuow%3D%3D&nvMid=40571416883&catId=50000249
삼성전자 삼성 갤럭시 S10 5G 공기계 G977,"160,550원",https://cr.shopping.naver.com/adcr.nhn?x=aS%2FMHOvyVh7EqGwhTsDN%2Fv%2F%2F%2Fw%3D%3DsBHzJExstdN%2BQPkj3PuUpetqKSSrjkYrXuBYF%2FMGktg9LNxXzQCzkIEnu1hmGhT97OSkyAjZzla0PplHTkxt9oN1PUSmdZKpsArmn8OcN7evHODgExG1S49cG2i8U9195r2fETgtXCV9IJi8dH7fB2kuRuCra0V6kWdISE25kd8FriMUDdTVUai0ALld2qP1J4WYxdABEepoo4CYQfNhsKqYkxelmwpEFOWOAFcs27rS1hvb46gJJqJ2U1U3rZnCSypPajD6yKnwusQqEpnlTc5S1yd62COp7ZloUf5Z0DGS%2BRSsulxzuZh91kr9PDkB2h8z9ArpZ5OJcU8fVtzjYRyAVdAOGxptQe6SJREotCfgHs%2F2PHkpmvWjL2qy1nHubQY4qk%2FHDnCpgFeUCvIf66WuL1R28gplS6yKjX5%2BmDlVdrU9gBvTOY8XVxGgpGxxdogP2x6mTqqAnTOdgeZk2PMvYukShnCE5I9jVsZaQNIXdEsNx4ZdkfR9015EMtFLphr2k2iQOqLtHibLd6%2FvJt%2F16uE%2BEekI88XhpEymV7HA7U%2FaVlvQIPA5gHd8%2F%2Bnt1DbLsxToSjHnbSy1glha3toqJSceAMnj2pJeskc%2FGZtnTn%2BIvcxawVxNuePP9ktetJr2tE2EvtWBn7sLvCN4b47iputG5aqlg%2BhpsemFhlgJyHQGqZsUqVWtKsox0KpSdBq7h9PA5SrIXrcWPClBGWw%3D%3D&nvMid=40750712404&catId=50000249
[중고]삼성 갤럭시 S10+ 플러스 128GB 공기계 무약정,"152,640원",https://cr.shopping.naver.com/adcr.nhn?x=CXZqWQc0NeIaRQHcY%2BpYif%2F%2F%2Fw%3D%3DsDzKw7sTXMOEtViIpcOetXu7b%2BntYhx9%2FzvsgRmWKSZIBxBRNvFhvy7mgrVLbbbiTpEn3ZEQ7lh8Cqol75EkB4o67cVCXRtCxR1f5TWhJc1qZA8z76lPqEWMkxz9Qd9l3zjqndUs78bm9DwanKptPQ%2Fa0AF6QykTFX74Hf1aaEpX6xQpEQ1zmCk45R5MPh%2F1pD8HTrsBlBJDTa7zRqC6%2FPJFGho%2BqKfTxFt0UCsdkWoJoORvWpZFd%2FkvKkdriOXvyFjMVqtvxm1TmR02xfkpRMEfh%2FKsqHGnfkGuzGJvd9ZJr6kdrp7BvT8OlwZ7P37YyZp%2FuhVWf5tMOyu5R2EADu1gFajUtCtYyfBj7SEUxPbGhASFm6QMSHF%2FUaOA0EOrwgFCw09t6HFJ8ZiWH6cVUAXDgMWaLj7luT2flSMBxCTcAyiSBYWescVhD6VK7PPxIR47ARaso69Wt6gazRq6dCYbFCfingTj9vKI71Bh99sBOn9kxxMRhtSlLyAmBj56Ecr7%2BXOmah8Fmyau1qZyX0eBDkptOXvjxDSshG4tAfO%2F%2F0vwEDoFwsFc6v60bSI%2FWKYTOF5KsHq%2BigGAc1pAeZ8CuSL77lwUMgQ2TiviECLecfEwL8ooM7lROv4J%2BZIB286euOFlqYxGW3xtmz76xsQ1QmAmnoJRdq4K9btjkCM0%3D&nvMid=39875481266&catId=50000249
삼성 갤럭시S10+ 512G SM-G975 미개통 미사용 새제품 공기계,"485,500원",https://cr.shopping.naver.com/adcr.nhn?x=Dn7phQ%2FR4jUKtqZuOBBwtv%2F%2F%2Fw%3D%3DsjfMY7eBUOVlsXMd1nGcHQJjDRDEsk3%2B2tr7pnvL5yzsBxBRNvFhvy7mgrVLbbbiTnLAl9XR1ZDbhcrAfR8XJkdcYL8ffjXTPEK7NX0e822eZA8z76lPqEWMkxz9Qd9l3zjqndUs78bm9DwanKptPQ4TQFhMNCQrG%2ByyVwSaillfdNec4Cvj%2Ba%2BGQsrA34g6VnH3x9hR4hrXTKnC9zITKvUrsN%2BbAGPahG8GrDY44BEOrilkDeG%2B1rLU11UaeFf3disext5K2yYkF868rsMDqiTG0yQsh0HHdvVOwApDC3lvZO8lqvNkbRjhTLioH%2BZIXknnpBql96m6NvKPxU4%2F6XCiaNdUH%2B2728mNT2oOAmW0h9RtQEMDkptfTK7ucdjVkM7rsgkCyhirl6sgxAkt2VS0IicWGuhHhvKXa9VKhx4zoTxfpWo7o%2FkdjVoxc%2BWLCMmmdmvrv38uIJ8%2B2A7WbtOAD9Ah6coldFfBlh5n9l0GiV%2B%2FBfk%2FaFwF5c9G6r8eYT2SQDb5kiJSFc8rfH0KgDeCWZzuQmKOSYC39e7AMK4tivjDV%2BvBM6L4XElCRgpqHj%2BIiKX94cWH%2F75EHgg19LI6Te8L6P6Cc11u5ePevJD0DfkLIyuldBS3f8m8e6nLmzUhNzs2VE%2B%2Bisqs3JAEppg%3D%3D&nvMid=86815955446&catId=50001519
삼성전자 갤럭시 S10 5G 512GB 공기계,"230,000원",https://cr.shopping.naver.com/adcr.nhn?x=c7vGaRCXL9GA2mwppWTMl%2F%2F%2F%2Fw%3D%3DsAce4rIMC3Zp9bpOjb9aXY7Ju1WALzCiETica6pb%2BagWW1lN%2FrePuoCGjaDOC4zAfy4mLdbLGNSJwAYMjiHDvyv9zkO0hTbqsqO80aZG%2BiQ1T3%2BYea8CtW8UdKOUr6ku6UccPdZlxt4XAKQKLLt1Rc1NVcI%2F18ppt353%2FqRWzEBPXkj%2BZW%2F1lJfgqvRvZaBhRM%2FptGQodazhUilsT7eAh8KN9pYNvfvdR2Rmy1C4xQS8Gm0YaszgzlxvVs9oY9oaqR%2BH8qyocad%2BQa7MYm931kmvqR2unsG9Pw6XBns%2FftjJmn%2B6FVZ%2Fm0w7K7lHYQAO7cXjNOs09bAxscys8LA425efUiiwQuvO25suOPFLlj%2FFIlVJZ8O0gw0Vk9pXDSQNdlNpfxoXdbbR7YTVM6qpm8XXA5Oz3WXM5peDivUt%2FUj35XE4yjw7LPpeZwj9lYy3L%2FrG4Em8Y0g3IcN47ST4h6okaFwXBxcNHfSVP3WxeH8gdCtuzKPp5MsrhD8wG6SIpaGBTC9jhxy%2F1oSIdoRxrBMvTtug4vCjEvohqOyQz59m2%2BAas1BTMltByept6b1dYb%2Fzqy3tbrsPL0GNxuIr5amhopkeKUdu5q4dSKA0zkoA%3D&nvMid=42716083489&catId=50000249
삼성 갤럭시 S10 5G 자급제 512GB 공기계 정품,"420,000원",https://cr.shopping.naver.com/adcr.nhn?x=tcFqYTqEGGhassZnFVv4SP%2F%2F%2Fw%3D%3DsZmfVzuM709OebWQSR4NU6aTS%2BfkA7NPRZSAthjs1Bv%2BW1lN%2FrePuoCGjaDOC4zAfwuDlYIf8gysnhHSIoyc9104N5BFJqWUUQlGT%2B6waLGhT3%2BYea8CtW8UdKOUr6ku6%2FYKR4MfOf%2FNSKVMdSVxn7uPYFsKOGABFhj5ZzjFkFAeKjyp0s01e9YG50wI1msUPcljTwZqYVVdbn9426JmThZK4d9AJTEByT2IUebTPQ04HBqrUeVrbskn5t5IYjIUUKN%2FSXHbDprBr8OgqLIfR1u22j4kJVFfV3JsQ21GzsoDrmLr9ft4%2BcxstiersI1ZWG5sxY5i3bJeWvShLH4HocDBVuueFOcn2Rlq2Co1shG8gFXQDhsabUHukiURKLQn4B7P9jx5KZr1oy9qstZx7m4aobhIZTJMjJGb2djboPWhHuhsRhoJndko5xAy8wWROXa1PYAb0zmPF1cRoKRscXTYnta4NDy1HA6Gd7PixikYTOBUtdh%2FbNq9%2B3LTnTH2%2BiGkpwYfn%2F78CiebmgDSmKtTM6h0kIl73%2FJGQMAMr4PRpIt98H4Yus%2FOX5kZyQBPgNMI8wAAb8hrhtjqldUPbil2e%2BiiWQpU2i6IrG8WK0hBZ9RKyiAxCbggTJ2Hd2ncG1hu6QCPToQ8xHPAV1DhMINmVVgsMQmmcjxwXoIw9IhZ34XMMs1Huk17b5ZI7yRURVRAkcaNdeKFLF%2BNbI1gBWg4SwcLvxUEucVmH%2BcOht40%3D&nvMid=42796202373&catId=50001519
삼성전자 삼성 갤럭시 S10플러스 공기계 G975,"160,550원",https://cr.shopping.naver.com/adcr.nhn?x=KYeEoXTOKbjPQomS0SnQg%2F%2F%2F%2Fw%3D%3DsTK4xBd4lrWGTkHrwQmvGkgvOSDJDtFqsHZCyz%2FfvXdABxBRNvFhvy7mgrVLbbbiTY6woZZ7n68reXjqzSJgl%2BrNfz%2FjJFvEM4ui%2BaKUPF%2FiZA8z76lPqEWMkxz9Qd9l3zjqndUs78bm9DwanKptPQ%2FOpPHAAXoCUftUko9nv9KGSfzoBgshimPVVTZ9R5tE2rz5BfuKKGlXdbdT0B5lNsmpfgMsv8%2Bvv1HHVPaRzrYfOtQvlMANWlpD4h0dOFVGLf2vmIC7xIWQei%2BJrtUVT7GnxtV23sCvbm1XBAfSpA%2Fmy1Buu0wydVXAglKw1k%2BpI9xmTuY7AWuqxPjfhfa%2BR%2B5pJoFZWNI2yKANI85NeZBak6v2w9jBqMGR4TTsgYaQnlII%2ByYYqWVu3SSXxcjEJdBXARWhm1PNBXKBfWNoZFvJuC%2FR0AErOT6%2Bh28qhDv82H%2FU%2FRs2RONfDDKvEvB6Nn%2Fss8y6iOR6AyiQpO196ybMDeqEwReF0buq5Z3l2WBfBlA4ECMcvlOgs0fLlmlENej0WSgcBdy7lskRDWAWqKTeFU1OcHMxMFdYkZMZGBpr5y0N2xwSUncVx5YqE65weNbIH523y3PEhx8G1j2gX31vDDLzWkqDC3yXQWLg0prx5dH0g2z1mnGI56RXn%2BRsxcQorfHl6LriV1BSLleNkPgNV6dJL4EnRNhcl161kYjmSVoWd0jB03C5aYq3HUc1IKtSSLJQZncWk8e8Ttfjz6Fs%3D&nvMid=40750710303&catId=50000249
삼성 갤럭시S10 플러스 512GB 공기계 3사호환-갤럭시S10 플러스 512GB,"260,000원",https://cr.shopping.naver.com/adcr.nhn?x=EeKjrVb2b4d81k6HKCnmj%2F%2F%2F%2Fw%3D%3Ds8ISEJ74LqZbr6%2Bw6hHR3lxPzzsyX0kF7Xe52Lux0jvQBxBRNvFhvy7mgrVLbbbiTMlSP8eh6IPPFytMWbzdpoXd5gmXCYrUbzuU26TjZ0Q2ZA8z76lPqEWMkxz9Qd9l3zjqndUs78bm9DwanKptPQ2to9Hg73HbAIItcVXxE0vc1JlZHfES505%2F%2Fvugbi%2FndIOVV2uNw8mR2Y7z2dKTdDdvtpSw1nN8zenoP%2BlMOyehi%2B8%2B3tbH3nP8Q%2FVOki1T97uzJOeG26G33pddLXlGKUx1I%2BrKzIUN8ikuD4JGEMTO54J8UO7LDGXdPU9Do8oyMXmq0wb8nQ9S1CNyVqQgAyCyGPq85Z0OfC%2BMDFikh54Sa6M85IgYYyB%2BSLugual%2BpCQjgb7tTdr7Lo6W7h17QsxMtIJ6OHUdFIhUzqZw6dWLXkflKeK4GTTXRXVtOUhPCvy5deJ9pbVDYJjTpnVHUKR%2Fsh62loAINuyRiurAMTfeKZT%2B37O6hKCkXJeSyjXnwpvtSJvXaHs8kX12lOvOSrQFFRla%2BL0PXKp%2FjPscU%2FYNpzuitxqZii%2FdPNVAkpLWD982PFx28%2FtNCmzCoZ20Wz6OuBZD%2FQkGyMe53inOjnLURUK6tmBkdFxsZibZtzxZf5fSk61M6M%2BNZ1kalBJL6myTRhLeTl%2FV4WuUrz4w%2BDSsdHI8FZtQVGFZJxOyBDKc%2B&nvMid=31567815451&catId=50000249
삼성 갤럭시 S10 5G 공기계 LTE사용가능 256GB,"196,800원",https://cr.shopping.naver.com/adcr.nhn?x=%2FnyPl6nY1OaQayzkRgpc7%2F%2F%2F%2Fw%3D%3Dsan416x5o4blv2jPJBJjMpC63J3xktokvMXinxwFIcFWW1lN%2FrePuoCGjaDOC4zAf3XJ9rBMm%2FhOPrrnYbZZggN7SLBx5j%2FH66aiHk3vzuN9T3%2BYea8CtW8UdKOUr6ku6%2FYKR4MfOf%2FNSKVMdSVxn7i%2BYxcAxQnoCnUx3jjIiOILcAdZDhcUNQhYf4Z7nu%2FXG16jkJuvIqZkI8jPbs1Xkq%2Bm%2BWcC4EewBl88YDJdbZFHra%2Bg5c0dFIfHI0Yy%2FVGzIgaqpx7O6lXqV73Ky8zb44r0T64VR%2BYLZkHLGS6gcCm7Bz7%2BORHa%2BX777%2F5U82WuFB5AGZrtEARX2JZ%2BKB0uxr%2BQW42QivL2ndmdaes08ic1drU9gBvTOY8XVxGgpGxxd58yAYAYp3OorIM4081T92EqbCM60V%2BwS7zyDpRUQLNiIaSnBh%2Bf%2FvwKJ5uaANKYq1MzqHSQiXvf8kZAwAyvg9Nts1q0Xh2qwvEU2sD8n4KDrpXRGhP1ryU1zqi8Y8rdKac7orcamYov3TzVQJKS1g2308AfuAH8avvlsO1Aq3B2jrgWQ%2F0JBsjHud4pzo5y16VKa4v%2BmFdXmw3aQGegwIyVYFmJYy8YtuYzKpcrNtBJMpVJxql6BYS7LdKbtVl4fgqgOvq6z5EpEI5N2xav1Mg%3D%3D&nvMid=38101242220&catId=50000249
